City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,Narsaq,60.92,-46.05,42.8,70,75,10.29,GL,2020-06-18 17:17:20
256,Batangafo,7.3,18.28,79.83,70,85,4.21,CF,2020-06-18 17:20:44
257,Sorong,-0.88,131.25,81.28,79,10,1.16,ID,2020-06-18 17:19:04
258,Dunedin,-45.87,170.5,42.01,82,67,3.0,NZ,2020-06-18 17:16:29
259,Luderitz,-26.65,15.16,87.8,15,0,4.7,NA,2020-06-18 17:17:31
260,Aswan,24.09,32.91,95.76,10,14,15.75,EG,2020-06-18 17:19:13
261,Sabha,27.04,14.43,96.15,10,0,8.41,LY,2020-06-18 17:20:45
262,Miri,4.41,114.01,78.8,94,75,3.36,MY,2020-06-18 17:17:24
263,Nanortalik,60.14,-45.24,40.35,79,55,7.16,GL,2020-06-18 17:17:29
264,Digha,21.68,87.55,85.19,77,100,15.12,IN,2020-06-18 17:20:46
265,Dinghai,26.28,119.79,82.4,83,89,6.71,CN,2020-06-18 17:20:46
266,Alyangula,-13.85,136.42,68.0,100,1,10.31,AU,2020-06-18 17:20:46
267,Omoa,15.77,-88.03,87.01,70,75,2.24,HN,2020-06-18 17:20:47
268,Stolin,51.89,26.85,72.25,78,50,8.05,BY,2020-06-18 17:20:47
269,Nirasaki,35.7,138.45,62.01,99,100,1.28,JP,2020-06-18 17:20:47
270,Liverpool,53.41,-2.98,59.0,93,75,5.82,GB,2020-06-18 17:18:04
271,Zirandaro,18.45,-100.98,96.31,38,71,0.47,MX,2020-06-18 17:20:48
272,Mezen,65.85,44.24,64.81,56,68,3.11,RU,2020-06-18 17:20:48
273,Rexburg,43.83,-111.79,54.0,58,40,5.82,US,2020-06-18 17:18:33
274,La Palma,33.85,-118.05,64.99,72,90,7.65,US,2020-06-18 17:20:48
275,Egvekinot,66.32,-179.17,54.97,42,3,2.51,RU,2020-06-18 17:20:49
276,Mogadishu,2.04,45.34,78.57,82,51,16.35,SO,2020-06-18 17:20:49
277,Winnemucca,40.97,-117.74,66.2,29,1,17.22,US,2020-06-18 17:20:49
278,Porto Novo,6.5,2.6,78.8,88,20,2.24,BJ,2020-06-18 17:20:49
279,Mirabad,30.44,61.84,92.05,11,0,13.56,AF,2020-06-18 17:20:49
280,Kushima,31.46,131.23,75.0,100,100,11.01,JP,2020-06-18 17:19:10
281,Beloha,-25.17,45.05,63.95,80,10,14.03,MG,2020-06-18 17:20:50
282,Kudahuvadhoo,2.67,72.89,84.63,72,75,1.83,MV,2020-06-18 17:18:28
283,Kandrian,-6.22,149.55,78.35,86,18,11.27,PG,2020-06-18 17:20:51
284,Payo,-3.75,103.64,73.69,93,100,2.13,ID,2020-06-18 17:20:51
285,Chipinge,-20.19,32.62,50.65,100,95,2.35,ZW,2020-06-18 17:20:51
286,Henties Bay,-22.12,14.28,72.57,40,0,11.45,NA,2020-06-18 17:20:51
287,Portland,45.52,-122.68,63.0,67,75,3.36,US,2020-06-18 17:13:31
288,Norman Wells,65.28,-126.83,71.6,49,75,10.29,CA,2020-06-18 17:18:12
289,Muroto,33.28,134.15,73.17,93,100,3.94,JP,2020-06-18 17:18:35
290,Caravelas,-17.71,-39.25,74.7,86,74,8.19,BR,2020-06-18 17:17:24
291,Vestmannaeyjar,63.44,-20.27,50.0,76,75,20.8,IS,2020-06-18 17:19:24
292,Tawang,27.58,91.87,57.69,77,100,0.89,IN,2020-06-18 17:20:53
293,Bintulu,3.17,113.03,78.8,94,75,5.82,MY,2020-06-18 17:20:53
294,Sitka,57.05,-135.33,51.8,87,90,10.29,US,2020-06-18 17:20:53
295,Longyearbyen,78.22,15.64,42.8,75,75,4.7,SJ,2020-06-18 17:17:27
296,Hoima,1.44,31.34,69.51,74,95,0.58,UG,2020-06-18 17:20:53
297,Pantai Remis,4.46,100.63,78.8,94,20,2.15,MY,2020-06-18 17:20:54
298,Berlevag,70.86,29.09,50.0,71,20,12.75,NO,2020-06-18 17:18:18
299,Shitanjing,39.23,106.34,76.14,19,22,7.09,CN,2020-06-18 17:20:54
300,Dawson Creek,55.77,-120.24,68.0,42,1,6.93,CA,2020-06-18 17:16:05
301,Vilhena,-12.74,-60.15,82.4,58,40,9.17,BR,2020-06-18 17:20:55
302,Yanam,16.73,82.22,84.2,79,40,6.93,IN,2020-06-18 17:20:55
303,Bom Jesus,-9.07,-44.36,89.33,33,0,9.82,BR,2020-06-18 17:20:55
304,Okaihau,-35.32,173.78,48.0,96,6,1.99,NZ,2020-06-18 17:20:56
