City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain(inches),Snow(inches),Date
363,Bahia Blanca,-38.72,-62.27,50.72,48,29,5.61,AR,scattered clouds,0.0,0,2020-06-21 02:14:15
364,Kihei,20.79,-156.47,89.6,43,40,21.92,US,scattered clouds,0.0,0,2020-06-21 02:16:39
365,Solnechnyy,50.72,136.63,62.47,52,100,6.42,RU,overcast clouds,0.0,0,2020-06-21 02:16:40
366,Lewisporte,49.25,-55.05,43.0,93,20,5.82,CA,few clouds,0.0,0,2020-06-21 02:16:40
367,Asadabad,34.78,48.12,53.8,40,0,1.01,IR,clear sky,0.0,0,2020-06-21 02:16:40
368,Matamoros,25.53,-103.25,96.8,19,75,8.05,MX,broken clouds,0.0,0,2020-06-21 02:16:40
369,Ponta Delgada,37.73,-25.67,64.4,93,75,8.05,PT,broken clouds,0.0,0,2020-06-21 02:16:41
370,Hirara,24.8,125.28,87.8,74,75,17.22,JP,broken clouds,0.0,0,2020-06-21 02:16:41
371,Constitucion,-35.33,-72.42,52.95,87,19,1.86,CL,few clouds,0.0,0,2020-06-21 02:16:41
372,Ambilobe,-13.2,49.05,69.44,93,5,2.48,MG,clear sky,0.0,0,2020-06-21 02:16:42
373,Sorong,-0.88,131.25,84.74,70,0,7.14,ID,clear sky,0.0,0,2020-06-21 02:16:42
374,Palmer,42.16,-72.33,75.0,63,66,4.65,US,light rain,0.43,0,2020-06-21 02:16:43
375,Yenagoa,4.92,6.26,74.35,94,100,3.36,NG,light rain,0.38,0,2020-06-21 02:16:43
376,Clyde River,70.47,-68.59,35.6,93,1,4.43,CA,clear sky,0.0,0,2020-06-21 02:16:43
377,Pevek,69.7,170.31,43.83,71,51,6.24,RU,broken clouds,0.0,0,2020-06-21 02:16:44
378,Arys,42.43,68.8,68.0,45,0,2.24,KZ,clear sky,0.0,0,2020-06-21 02:16:44
379,Saint Anthony,45.02,-93.22,71.01,56,1,3.36,US,clear sky,0.0,0,2020-06-21 02:16:45
380,Sehore,23.2,77.08,79.57,78,97,11.16,IN,overcast clouds,0.0,0,2020-06-21 02:16:45
381,Lasa,46.62,10.7,51.8,76,40,9.17,IT,scattered clouds,0.0,0,2020-06-21 02:11:57
382,Whitehorse,60.72,-135.05,66.2,42,75,12.75,CA,shower rain,0.0,0,2020-06-21 02:16:45
383,Linhares,-19.39,-40.07,67.64,88,0,2.24,BR,clear sky,0.0,0,2020-06-21 02:16:45
384,Brae,60.4,-1.35,53.6,93,13,21.92,GB,few clouds,0.0,0,2020-06-21 02:16:46
385,Eyl,7.98,49.82,81.5,56,100,23.29,SO,overcast clouds,0.0,0,2020-06-21 02:16:46
386,Abonnema,4.71,6.79,75.2,94,75,3.36,NG,thunderstorm,0.0,0,2020-06-21 02:16:46
387,Hofn,64.25,-15.21,50.92,88,100,11.99,IS,overcast clouds,0.0,0,2020-06-21 02:16:46
388,Pangnirtung,66.15,-65.71,43.88,62,0,2.08,CA,clear sky,0.0,0,2020-06-21 02:16:47
389,Odweyne,9.41,45.06,72.23,60,50,15.12,SO,scattered clouds,0.0,0,2020-06-21 02:16:47
390,Coihueco,-36.62,-71.83,48.2,100,75,6.93,CL,broken clouds,0.0,0,2020-06-21 02:16:48
391,Tulsipur,28.13,82.3,81.0,81,100,1.01,NP,light rain,0.95,0,2020-06-21 02:16:48
392,Colares,38.8,-9.45,64.99,88,0,15.01,PT,clear sky,0.0,0,2020-06-21 02:16:48
393,Azare,11.68,10.19,81.01,53,0,10.36,NG,clear sky,0.0,0,2020-06-21 02:16:48
394,Manggar,-2.88,108.27,81.91,80,100,10.98,ID,moderate rain,2.24,0,2020-06-21 02:16:49
395,Charters Towers,-20.1,146.27,71.51,59,54,9.84,AU,broken clouds,0.0,0,2020-06-21 02:16:49
396,Cherskiy,68.75,161.3,84.6,22,69,7.02,RU,broken clouds,0.0,0,2020-06-21 02:16:50
397,Tarko-Sale,64.92,77.78,48.99,85,100,19.89,RU,heavy intensity rain,4.06,0,2020-06-21 02:16:50
398,Shar,49.59,81.05,53.58,44,26,4.45,KZ,scattered clouds,0.0,0,2020-06-21 02:16:50
399,Birao,10.28,22.79,76.32,76,0,7.38,CF,clear sky,0.0,0,2020-06-21 02:16:50
400,Buenos Aires,-34.61,-58.38,55.4,87,75,11.41,AR,thunderstorm with light rain,3.56,0,2020-06-21 02:16:50
